d_t,app,func,end_timestamp,duration,st_tsp,date,counter,wait_delay
2021-02-04 12:38:00.186792965,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391080.19179296494,0.005,391080.18679296493,2021-02-04 12:38:00.186792965,71,9093
2021-02-04 12:38:14.111056017,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391094.112056017,0.001,391094.111056017,2021-02-04 12:38:14.111056017,72,13924
2021-02-04 12:38:22.405229973,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391102.40622997296,0.001,391102.40522997297,2021-02-04 12:38:22.405229973,73,8294
2021-02-04 12:38:34.830026077,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391114.831026077,0.001,391114.830026077,2021-02-04 12:38:34.830026077,74,12425
2021-02-04 12:38:44.538057016,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391124.539057016,0.001,391124.53805701603,2021-02-04 12:38:44.538057016,75,9708
2021-02-04 12:38:56.634087967,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391136.635087967,0.001,391136.634087967,2021-02-04 12:38:56.634087967,76,12096
2021-02-04 12:40:00.020049030,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391200.23804903,0.218,391200.02004903,2021-02-04 12:40:00.020049030,77,63386
2021-02-04 12:40:04.233522890,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391211.46052289,7.227,391204.23352288996,2021-02-04 12:40:04.233522890,78,4213
2021-02-04 12:40:09.757491039,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391209.758491039,0.001,391209.757491039,2021-02-04 12:40:09.757491039,79,5524
2021-02-04 12:40:15.135975050,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391215.13697505,0.001,391215.13597505,2021-02-04 12:40:15.135975050,80,5378
