sno,Unnamed: 0,wait
375,3750,6921
376,3760,8274
377,3770,5070
378,3780,7303
379,3790,7271
380,3800,7184
381,3810,7771
382,3820,7710
383,3830,8725
384,3840,7676
385,3850,7478
386,3860,8081
387,3870,7914
388,3880,6604
389,3890,7869
390,3900,8599
391,3910,8283
392,3920,7897
393,3930,6839
394,3940,7615
395,3950,8246
396,3960,7555
397,3970,6496
398,3980,7117
399,3990,7931
400,4000,8240
401,4010,7801
402,4020,6631
403,4030,7077
404,4040,7138
405,4050,6536
406,4060,7249
407,4070,8170
408,4080,7788
409,4090,8015
410,4100,8668
411,4110,1489
412,4120,7250
413,4130,7567
414,4140,8174
415,4150,7206
416,4160,7604
417,4170,8056
418,4180,7810
419,4190,7883
420,4200,7378
421,4210,7465
422,4220,8557
423,4230,8117
424,4240,8200
425,4250,7858
426,4260,7451
427,4270,8061
428,4280,7166
429,4290,7657
430,4300,8841
431,4310,7497
432,4320,6974
433,4330,7187
434,4340,7807
435,4350,8008
436,4360,7286
437,4370,7786
438,4380,8479
439,4390,7955
440,4400,7746
441,4410,7911
442,4420,8167
443,4430,7752
444,4440,1817
445,4450,6908
446,4460,8057
447,4470,7825
448,4480,7200
449,4490,7281
450,4500,8276
451,4510,7981
452,4520,8602
453,4530,8492
454,4540,8243
455,4550,6836
456,4560,7617
457,4570,7916
458,4580,7723
459,4590,6684
460,4600,7258
461,4610,7387
462,4620,8300
463,4630,8106
464,4640,7789
465,4650,7647
466,4660,7501
467,4670,8108
468,4680,7683
469,4690,6856
470,4700,3831
471,4710,6506
472,4720,1714
473,4730,5716
474,4740,7562
475,4750,8270
476,4760,7492
477,4770,7586
478,4780,7902
479,4790,7811
480,4800,7888
481,4810,8754
482,4820,8408
483,4830,6788
484,4840,7575
485,4850,7377
486,4860,7464
487,4870,7797
488,4880,7027
489,4890,7812
490,4900,8360
491,4910,8333
492,4920,7435
493,4930,7990
494,4940,8017
495,4950,7990
496,4960,7654
497,4970,7773
498,4980,7922
499,4990,8232
500,5000,8014
501,5010,7161
502,5020,7884
503,5030,7377
504,5040,7563
505,5050,7246
506,5060,8335
507,5070,8161
508,5080,7746
509,5090,7299
510,5100,8013
511,5110,8065
512,5120,7779
513,5130,7701
514,5140,7438
515,5150,7903
516,5160,7621
517,5170,8227
518,5180,8227
519,5190,8380
520,5200,8584
521,5210,8515
522,5220,7705
523,5230,6399
524,5240,7657
525,5250,7633
526,5260,7018
527,5270,7770
528,5280,8308
529,5290,7832
530,5300,7303
531,5310,2008
532,5320,5113
533,5330,7273
534,5340,7386
535,5350,7945
536,5360,7472
537,5370,7556
538,5380,7875
539,5390,7614
540,5400,7588
541,5410,7907
542,5420,8122
543,5430,7637
544,5440,7635
545,5450,8411
546,5460,7816
547,5470,7460
548,5480,8253
549,5490,7647
550,5500,8094
551,5510,8092
552,5520,7630
553,5530,8011
554,5540,7833
555,5550,8168
556,5560,8561
557,5570,7716
558,5580,8281
559,5590,7888
560,5600,7127
561,5610,6590
562,5620,7537
563,5630,8289
564,5640,6683
565,5650,7163
566,5660,7453
567,5670,7585
568,5680,7787
569,5690,8106
570,5700,7393
571,5710,6783
572,5720,8008
573,5730,8007
574,5740,8400
575,5750,8417
576,5760,8349
577,5770,7691
578,5780,7283
579,5790,7240
580,5800,7974
581,5810,7516
582,5820,7489
583,5830,7561
584,5840,7885
585,5850,8142
586,5860,7954
587,5870,2803
588,5880,7644
589,5890,7471
590,5900,8260
591,5910,8337
592,5920,8563
593,5930,7298
594,5940,7848
595,5950,7521
596,5960,8232
597,5970,7485
598,5980,7616
599,5990,7966
600,6000,7417
601,6010,7472
602,6020,7910
603,6030,6842
604,6040,7212
605,6050,7926
606,6060,8137
607,6070,8660
608,6080,8314
609,6090,7933
610,6100,8273
611,6110,7440
612,6120,6800
613,6130,4433
614,6140,7002
615,6150,8391
616,6160,7991
617,6170,7673
618,6180,8228
619,6190,7733
620,6200,7515
621,6210,7287
622,6220,7510
623,6230,8228
624,6240,7427
625,6250,8079
626,6260,7437
627,6270,7900
628,6280,7246
629,6290,7689
630,6300,8043
631,6310,8722
632,6320,5749
633,6330,7923
634,6340,7097
635,6350,6168
636,6360,7105
637,6370,7553
638,6380,7022
639,6390,7363
640,6400,8308
641,6410,8425
642,6420,7613
643,6430,8106
644,6440,7687
645,6450,8176
646,6460,7620
647,6470,7373
648,6480,8505
649,6490,8189
650,6500,8287
651,6510,8558
652,6520,8317
653,6530,8434
654,6540,7127
655,6550,5944
656,6560,7232
657,6570,7934
658,6580,6931
659,6590,8212
660,6600,8175
661,6610,7541
662,6620,7687
663,6630,8004
664,6640,8285
665,6650,7430
666,6660,7524
667,6670,8163
668,6680,6416
669,6690,7510
670,6700,7976
671,6710,8244
672,6720,7644
673,6730,7048
674,6740,7203
675,6750,6204
676,6760,7436
677,6770,7744
678,6780,8174
679,6790,7926
680,6800,8191
681,6810,7947
682,6820,7543
683,6830,7228
684,6840,7745
685,6850,8152
686,6860,8295
687,6870,7868
688,6880,7430
689,6890,7812
690,6900,7720
691,6910,8506
692,6920,8201
693,6930,5372
694,6940,6393
695,6950,7106
696,6960,7771
697,6970,8504
698,6980,9135
699,6990,8518
700,7000,7162
701,7010,7925
702,7020,8429
703,7030,7775
704,7040,7409
705,7050,7629
706,7060,6829
707,7070,7542
708,7080,8229
709,7090,8295
710,7100,8298
711,7110,8646
712,7120,1388
713,7130,7318
714,7140,7792
715,7150,8717
716,7160,7898
717,7170,7444
718,7180,7860
719,7190,7627
720,7200,7690
721,7210,7649
722,7220,7926
723,7230,7735
724,7240,7938
725,7250,7470
726,7260,6987
727,7270,7137
728,7280,6918
729,7290,8132
730,7300,8121
731,7310,7973
732,7320,7781
733,7330,8536
734,7340,8217
735,7350,7764
736,7360,6847
737,7370,7438
738,7380,7675
739,7390,7673
740,7400,7922
741,7410,7929
742,7420,8125
743,7430,8338
744,7440,7595
745,7450,7434
746,7460,7081
747,7470,6374
748,7480,6933
749,7490,6388
750,7500,7104
751,7510,7991
752,7520,8115
753,7530,7195
754,7540,7417
755,7550,7596
756,7560,7839
757,7570,7829
758,7580,7147
